,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
3,WeightedEnsemble,-3018.4408920351398,-843.2108244310373,0.10852432250976562,0.05024147033691406,16.341201066970825,5
5,PatchTST,-3420.9839564725517,-887.3285405737472,0.024555444717407227,0.011986494064331055,2953.330962896347,3
1,TiDE,-2998.0752960888203,-908.1664846778233,0.03034210205078125,0.017636537551879883,6628.703899860382,4
7,TemporalFusionTransformer,-4459.171938336223,-944.6187744439119,0.05162692070007324,0.020618438720703125,6960.563470840454,2
9,DynamicOptimizedTheta,-8093.110016956976,-1245.2757034066838,44.03724908828735,1.3400423526763916,388.862242937088,1
0,TiDE_FULL,-2998.0752960888203,,0.025151729583740234,,81.61390519142151,9
2,WeightedEnsemble_FULL,-3018.4408920351398,,0.10609865188598633,,16.341201066970825,10
4,PatchTST_FULL,-3420.9839564725517,,0.026406526565551758,,25.38149881362915,8
6,TemporalFusionTransformer_FULL,-4459.171938336223,,0.053087472915649414,,70.78149962425232,7
8,DynamicOptimizedTheta_FULL,-8093.110016956976,,46.81141948699951,,0.0040187835693359375,6
