,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
3,WeightedEnsemble,-994.7764172329652,-880.2663016971561,0.18536829948425293,0.06746482849121094,35.72271251678467,5
7,PatchTST,-1049.0401574383354,-928.9120213327366,0.03818011283874512,0.013745546340942383,3410.3817009925842,3
1,TemporalFusionTransformer,-832.1814258125178,-966.7497171098732,0.1012730598449707,0.03340554237365723,4480.449051856995,2
9,TiDE,-3001.1953084514944,-983.8202978264617,0.04341912269592285,0.020313739776611328,5610.354766845703,4
5,DynamicOptimizedTheta,-1014.3839346563088,-1173.0614214769178,0.4261448383331299,0.3285229206085205,98.71662187576294,1
0,TemporalFusionTransformer_FULL,-832.1814258125178,,0.10383462905883789,,58.096710205078125,7
2,WeightedEnsemble_FULL,-994.7764172329652,,0.19324088096618652,,35.72271251678467,10
4,DynamicOptimizedTheta_FULL,-1014.3839346563088,,0.40895581245422363,,0.00701904296875,6
6,PatchTST_FULL,-1049.0401574383354,,0.034342288970947266,,54.0023398399353,8
8,TiDE_FULL,-3001.1953084514944,,0.053243160247802734,,105.01484394073486,9
